,gameID,HomeAway,Outcome,goals,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,OPPgoals,OPPpim,OPPshots,OPPpowerPlayPercentage,OPPpowerPlayGoals,OPPpowerPlayOpportunities,OPPfaceOffWinPercentage,OPPblocked,OPPtakeaways,OPPgiveaways,OPPhits
221,2016020880,Away,Win,2,4,33,0,0,1,45.9,10,9,3,15,1,2,27,0,0,2,54.1,11,5,4,16
222,2016020891,Home, loss,3,4,34,100,2,2,52.2,7,5,9,21,4,6,35,0,0,1,47.8,8,9,5,21
223,2016020901,Home, loss,2,4,38,33.3,1,3,43.6,4,7,7,16,4,8,28,0,0,1,56.4,15,9,5,15
224,2016020916,Home, loss,1,33,38,20,1,5,50,6,12,13,21,2,29,33,0,0,2,50,19,5,8,23
225,2016020927,Home,,2,4,31,50,1,2,47.2,12,12,17,25,2,6,25,0,0,1,52.8,7,8,5,23
226,2016020938,Away,,1,12,40,0,0,2,52.5,15,7,11,27,1,8,49,0,0,4,47.5,12,12,16,29
227,2016020955,Home, loss,1,6,42,33.3,1,3,53.4,14,10,12,19,2,6,34,0,0,3,46.6,7,7,11,11
228,2016020976,Home, loss,2,8,45,20,1,5,38.6,7,5,11,21,5,10,28,0,0,4,61.4,15,8,3,19
229,2016020997,Home, loss,4,8,40,50,1,2,42.3,16,9,21,23,7,6,46,0,0,3,57.7,11,6,5,16
230,2016021003,Away, loss,2,42,34,0,0,3,51.5,10,3,9,23,3,20,34,25,1,4,48.5,10,13,8,18
231,2016021029,Home,Win,7,12,32,20,1,5,54.1,12,4,9,19,2,14,30,25,1,4,45.9,9,7,8,17
232,2016021041,Away, loss,1,6,34,0,0,2,38.2,8,2,2,9,2,4,34,0,0,3,61.8,14,4,5,10
233,2016021049,Away,,3,10,37,50,1,2,36.1,17,10,8,16,3,8,32,33.3,1,3,63.9,15,8,4,17
234,2016021064,Away, loss,0,12,21,0,0,4,54.7,10,5,4,26,4,12,28,0,0,4,45.3,19,10,8,22
235,2016021081,Home, loss,3,6,35,0,0,3,48,10,8,11,19,4,10,25,100,1,1,52,14,6,9,22
236,2016021094,Home,Win,3,0,39,0,0,0,45.2,6,13,8,20,1,0,23,0,0,0,54.8,10,9,11,19
237,2016021109,Home,Win,7,30,31,20,1,5,43.9,10,9,13,15,0,34,25,0,0,3,56.1,12,3,12,15
238,2016021122,Away, loss,2,11,32,33.3,1,3,58.9,10,3,4,9,4,11,32,66.7,2,3,41.1,9,4,14,22
239,2016021131,Away, loss,2,18,27,25,1,4,43.1,15,8,8,30,3,18,25,0,0,4,56.9,13,14,20,18
240,2016021144,Away, loss,2,6,31,0,0,3,43.5,18,7,11,27,6,20,33,0,0,1,56.5,17,6,23,19
241,2016021157,Away, loss,2,8,26,25,1,4,57.4,6,12,16,21,5,8,29,25,1,4,42.6,12,7,10,16
242,2016021178,Home, loss,1,9,32,0,0,2,50,9,5,6,15,4,9,31,0,0,2,50,5,4,12,18
243,2016021199,Home, loss,3,8,32,0,0,2,42.1,8,10,12,13,6,4,38,50,2,4,57.9,12,10,3,9
244,2016021213,Home,Win,3,4,37,25,1,4,50.9,8,11,7,12,0,8,30,0,0,2,49.1,6,6,10,15
245,2016021228,Away,Win,2,6,21,100,1,1,62.2,11,1,9,3,0,4,38,0,0,2,37.8,11,9,7,5
246,2017020014,Away, loss,3,6,36,0,0,4,51.5,12,3,8,20,5,8,25,33.3,1,3,48.5,17,9,7,26
247,2017020018,Home,Win,5,23,48,25,1,4,50.7,13,15,13,14,4,19,30,16.7,1,6,49.3,13,5,13,26
248,2017020052,Home,Win,5,25,38,20,1,5,55.1,13,14,13,18,2,25,39,20,1,5,44.9,11,4,9,13
249,2017020067,Away, loss,3,6,46,20,1,5,58.7,17,7,9,23,4,10,33,33.3,1,3,41.3,6,11,2,21
250,2017020083,Away, loss,1,13,41,16.7,1,6,43.1,10,7,5,22,5,17,39,25,1,4,56.9,22,5,10,13
251,2017020107,Home, loss,3,8,31,0,0,2,58.1,13,5,9,20,4,4,48,75,3,4,41.9,16,5,8,21
252,2017020116,Away,Win,4,8,23,33.3,2,6,55.8,24,11,4,14,1,12,42,0,0,4,44.2,11,7,17,12
